Title,Description,Link,Lessons,Price,Review Count
Framework to Choose the Right LLM for your Business,"All Courses, 
        
      
        
          Generative AI",https://courses.analyticsvidhya.com/courses/choosing-the-right-LLM-for-your-business,6 Lessons,Free,(1)
Improving Real World RAG Systems: Key Challenges & Practical Solutions,"All Courses, 
        
      
        
          Generative AI",https://courses.analyticsvidhya.com/courses/improving-real-world-rag-systems-key-challenges,12 Lessons,Free,(4)
Building Smarter LLMs with Mamba and State Space Model,All Courses,https://courses.analyticsvidhya.com/courses/building-smarter-llms-with-mamba-and-state-space-model,14 Lessons,Free,No reviews
Generative AI - A Way of Life - Free Course,"All Courses, 
        
      
        
          Generative AI",https://courses.analyticsvidhya.com/courses/genai-a-way-of-life,31 Lessons,Free,(10)
Getting Started with Large Language Models,"All Courses, 
        
      
        
          Generative AI",https://courses.analyticsvidhya.com/courses/getting-started-with-llms,18 Lessons,Free,(22)
Building LLM Applications using Prompt Engineering - Free Course,"All Courses, 
        
      
        
          Generative AI",https://courses.analyticsvidhya.com/courses/building-llm-applications-using-prompt-engineering-free,18 Lessons,Free,(8)
MidJourney: From Inspiration to Implementation - Free Course,"All Courses, 
        
      
        
          Generative AI",https://courses.analyticsvidhya.com/courses/midjourney_from_inspiration_to_implementation,5 Lessons,Free,(2)
Building Your first RAG System using LlamaIndex - Free Course,"All Courses, 
        
      
        
          Generative AI",https://courses.analyticsvidhya.com/courses/building-first-rag-systems-using-llamaindex,12 Lessons,Free,(9)
Exploring Stability.AI - Free Course,"All Courses, 
        
      
        
          Generative AI",https://courses.analyticsvidhya.com/courses/exploring-stability-ai,7 Lessons,Free,(2)
No title available,No description available,https://courses.analyticsvidhya.comNo link,No lesson count,No price available,No reviews
Introduction to AI & ML,All Courses,https://courses.analyticsvidhya.com/courses/introduction-to-ai-ml,17 Lessons,Free,(190)
Introduction to Python,"All Courses, 
        
      
        
          Tools, 
        
      
        
          Business Analytics Courses",https://courses.analyticsvidhya.com/courses/introduction-to-data-science,69 Lessons,Free,(1580)
Machine Learning Certification Course for Beginners,All Courses,https://courses.analyticsvidhya.com/courses/Machine-Learning-Certification-Course-for-Beginners,261 Lessons,Free,(533)
The Working of Neural Networks - Free Course,All Courses,https://courses.analyticsvidhya.com/courses/The%20Working%20of%20Neural%20Networks,11 Lessons,Free,No reviews
Understanding Linear Regression - Free Course,All Courses,https://courses.analyticsvidhya.com/courses/free-understanding-linear-regression,10 Lessons,Free,(3)
Building a Text Classification Model with Natural Language Processing - Free Course,All Courses,https://courses.analyticsvidhya.com/courses/free-building-textclassification-natural-language-processing,16 Lessons,Free,(1)
The A to Z of Unsupervised ML - Free Course,All Courses,https://courses.analyticsvidhya.com/courses/free-unsupervised-ml-guide,13 Lessons,Free,No reviews
Bagging and Boosting ML Algorithms - Free Course,All Courses,https://courses.analyticsvidhya.com/courses/bagging-boosting-ML-Algorithms,16 Lessons,Free,No reviews
Data Preprocessing on a Real-World Problem Statement - Free Course,All Courses,https://courses.analyticsvidhya.com/courses/data-preprocessing,13 Lessons,Free,(3)
Introduction to Business Analytics,"All Courses, 
        
      
        
          Business Analytics Courses",https://courses.analyticsvidhya.com/courses/introduction-to-analytics,32 Lessons,Free,(424)
Microsoft Excel: Formulas & Functions,Business Analytics Courses,https://courses.analyticsvidhya.com/courses/microsoft-excel-formulas-functions,33 Lessons,Free,(390)
Tableau for Beginners,"All Courses, 
        
      
        
          Tools",https://courses.analyticsvidhya.com/courses/tableau-for-beginners,17 Lessons,Free,(240)
Loan Prediction Practice Problem (Using Python),"All Courses, 
        
      
        
          Projects, 
        
      
        
          Machine Learning Courses",https://courses.analyticsvidhya.com/courses/loan-prediction-practice-problem-using-python,16 Lessons,Free,(358)
Twitter Sentiment Analysis,"All Courses, 
        
      
        
          Projects, 
        
      
        
          Machine Learning Courses",https://courses.analyticsvidhya.com/courses/twitter-sentiment-analysis,18 Lessons,Free,(127)
Introduction to Web Scraping using Python,All Courses,https://courses.analyticsvidhya.com/courses/introduction-to-web-scraping,13 Lessons,Free,(96)
Big Mart Sales Prediction Using R,"All Courses, 
        
      
        
          Projects, 
        
      
        
          Machine Learning Courses",https://courses.analyticsvidhya.com/courses/big-mart-sales-prediction-using-r,19 Lessons,Free,(80)
Time Series Forecasting using Python,"All Courses, 
        
      
        
          Projects, 
        
      
        
          Machine Learning Courses, 
        
      
        
          Business Analytics Courses",https://courses.analyticsvidhya.com/courses/creating-time-series-forecast-using-python,22 Lessons,Free,(209)
